GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE,REGION,HPV_INT_DOSES
COUNTRIES,BRA,Brazil,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,1407147,1112787.0,79.0,AMR,1 dose
COUNTRIES,BRN,Brunei,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,3056,2823.0,92.0,WPR,2 doses (6 months)
COUNTRIES,BGR,Bulgaria,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,33704,3745.0,11.0,EUR,2 doses (6 months)
COUNTRIES,BFA,Burkina Faso,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,335340,345592.0,99.0,AFR,1 dose
COUNTRIES,CPV,Cabo Verde,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,4765,4979.0,99.0,AFR,1 dose
COUNTRIES,KHM,Cambodia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,169639,144310.0,85.0,WPR,1 dose
COUNTRIES,CMR,Cameroon,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,379781,138515.0,36.0,AFR,1 dose
COUNTRIES,CAN,Canada,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,86.0,AMR,1 dose
COUNTRIES,CHL,Chile,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,121322,113705.0,94.0,AMR,1 dose
COUNTRIES,COL,Colombia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,346938,208686.0,60.0,AMR,1 dose
COUNTRIES,COK,Cook Islands,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,113,87.0,77.0,WPR,2 doses (6 months)
COUNTRIES,CRI,Costa Rica,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,35074,32423.0,92.0,AMR,2 doses (6 months)
COUNTRIES,CIV,Ivory Coast,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,616683,374731.0,61.0,AFR,1 dose
COUNTRIES,HRV,Croatia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,20675,10874.0,53.0,EUR,2 doses (6 months)
COUNTRIES,CYP,Cyprus,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,4887,4063.0,83.0,EUR,2 doses (6 months)
COUNTRIES,CZE,Czech Republic,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,55791,41970.0,75.0,EUR,2 doses (6 months)
COUNTRIES,DNK,Denmark,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,31221,27937.0,89.0,EUR,2 doses (6 months)
COUNTRIES,DMA,Dominica,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,431,331.0,77.0,AMR,1 dose
COUNTRIES,DOM,Dominican Republic,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,100037,45004.0,45.0,AMR,1 dose
COUNTRIES,ECU,Ecuador,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,156237,139611.0,89.0,AMR,1 dose
COUNTRIES,SLV,El Salvador,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,71093,60894.0,86.0,AMR,1 dose
COUNTRIES,ERI,Eritrea,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,49348,33387.0,68.0,AFR,2 doses (6 months)
COUNTRIES,EST,Estonia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,63.0,EUR,1 dose
COUNTRIES,SWZ,Eswatini,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,37104,11233.0,30.0,AFR,1 dose
COUNTRIES,ETH,Ethiopia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,9051552,5249900.0,58.0,AFR,1 dose
COUNTRIES,FJI,Fiji,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,8319,7432.0,89.0,WPR,2 doses (6 months)
COUNTRIES,FIN,Finland,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,71.0,EUR,2 doses (6 months)
COUNTRIES,FRA,France,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,48.0,EUR,2 doses (6 months)
COUNTRIES,GMB,Gambia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,160814,23527.0,15.0,AFR,1 dose
COUNTRIES,GEO,Georgia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,27939,9053.0,32.0,EUR,2 doses (6 months)
COUNTRIES,DEU,Germany,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,68.0,EUR,2 doses (6 months)
COUNTRIES,GRC,Greece,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,,EUR,2 doses (6 months)
COUNTRIES,GRD,Grenada,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,778,38.0,5.0,AMR,1 dose
COUNTRIES,GTM,Guatemala,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,195590,110707.0,57.0,AMR,1 dose
COUNTRIES,GUY,Guyana,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,26178,18567.0,71.0,AMR,1 dose
COUNTRIES,HND,Honduras,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,104710,75524.0,72.0,AMR,1 dose
COUNTRIES,HUN,Hungary,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,44275,34082.0,77.0,EUR,2 doses (6 months)
COUNTRIES,ISL,Iceland,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,93.0,EUR,2 doses (6 months)
COUNTRIES,IDN,Indonesia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,2397151,1925570.0,80.0,WPR,1 dose
COUNTRIES,IRL,Ireland,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,35666,26148.0,73.0,EUR,1 dose
COUNTRIES,ISR,Israel,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,51.0,EUR,2 doses (6 months)
COUNTRIES,ISR,Israel,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,51.0,EMR,2 doses (6 months)
COUNTRIES,ITA,Italy,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,261095,173410.0,66.0,EUR,2 doses (6 months)
COUNTRIES,JAM,Jamaica,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,19026,1401.0,7.0,AMR,1 dose
COUNTRIES,JPN,Japan,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,525678,202908.0,39.0,WPR,2 doses (6 months)
COUNTRIES,KAZ,Kazakhstan,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,190228,72380.0,38.0,EUR,2 doses (6 months)
COUNTRIES,KEN,Kenya,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,1444531,1134120.0,79.0,AFR,1 dose
COUNTRIES,KIR,Kiribati,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,1498,1068.0,71.0,WPR,1 dose
COUNTRIES,KWT,Kuwait,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,,EMR,2 doses (6 months)
COUNTRIES,KGZ,Kyrgyzstan,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,73264,64798.0,88.0,EUR,1 dose
COUNTRIES,LAO,Laos,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,129684,122798.0,95.0,WPR,1 dose
COUNTRIES,LVA,Latvia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,9395,6020.0,64.0,EUR,2 doses (6 months)
COUNTRIES,LSO,Lesotho,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,22942,16059.0,70.0,AFR,2 doses (6 months)
COUNTRIES,LBR,Liberia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,71033,50101.0,71.0,AFR,1 dose
COUNTRIES,LBY,Libya,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,123811,62815.0,51.0,EMR,
COUNTRIES,LTU,Lithuania,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,14373,8262.0,57.0,EUR,2 doses (6 months)
COUNTRIES,LUX,Luxembourg,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,87.0,EUR,2 doses (6 months)
COUNTRIES,MWI,Malawi,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,965874,519189.0,54.0,AFR,1 dose
COUNTRIES,MYS,Malaysia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,264127,206647.0,78.0,WPR,1 dose
COUNTRIES,MDV,Maldives,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,3494,2616.0,75.0,SEAR,1 dose
COUNTRIES,MLI,Mali,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,343798,50563.0,15.0,AFR,1 dose
COUNTRIES,MLT,Malta,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,2361,2037.0,86.0,EUR,2 doses (6 months)
COUNTRIES,MHL,Marshall Islands,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,486,338.0,70.0,WPR,2 doses (6 months)
COUNTRIES,MRT,Mauritania,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,126351,64894.0,51.0,AFR,1 dose
COUNTRIES,MUS,Mauritius,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,7400,6784.0,92.0,AFR,2 doses (6 months)
COUNTRIES,MEX,Mexico,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,1110733,906764.0,82.0,AMR,1 dose
COUNTRIES,FSM,Micronesia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,3393,2375.0,70.0,WPR,2 doses (6 months)
COUNTRIES,MCO,Monaco,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,16.0,EUR,2 doses (6 months)
COUNTRIES,MNG,Mongolia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,38526,9651.0,25.0,WPR,1 dose
COUNTRIES,MNE,Montenegro,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,19199,984.0,5.0,EUR,1 dose
COUNTRIES,MAR,Morocco,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,324890,9267.0,3.0,EMR,1 dose
COUNTRIES,MOZ,Mozambique,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,689327,615889.0,89.0,AFR,1 dose
COUNTRIES,MMR,Myanmar,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,431205,359591.0,83.0,SEAR,1 dose
COUNTRIES,NRU,Nauru,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,594,139.0,23.0,WPR,2 doses (6 months)
COUNTRIES,NLD,Netherlands,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,63.0,EUR,2 doses (6 months)
COUNTRIES,NZL,New Zealand,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,32781,17324.0,53.0,WPR,2 doses (6 months)
COUNTRIES,NGA,Nigeria,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,13916556,8290701.0,60.0,AFR,1 dose
COUNTRIES,NIU,Niue,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,99.0,WPR,2 doses (6 months)
COUNTRIES,MKD,North Macedonia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,10604,6165.0,58.0,EUR,2 doses (6 months)
COUNTRIES,NOR,Norway,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,31651,29551.0,93.0,EUR,2 doses (6 months)
COUNTRIES,PLW,Palau,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,58.0,WPR,2 doses (6 months)
COUNTRIES,PAN,Panama,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,37824,26943.0,71.0,AMR,2 doses (6 months)
COUNTRIES,PRY,Paraguay,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,63655,29919.0,47.0,AMR,1 dose
COUNTRIES,PER,Peru,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,270862,262585.0,97.0,AMR,1 dose
COUNTRIES,PHL,Philippines,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,1123627,566106.0,50.0,WPR,2 doses (6 months)
COUNTRIES,POL,Poland,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,1103745,114054.0,10.0,EUR,2 doses (6 months)
COUNTRIES,PRT,Portugal,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,42979,39033.0,91.0,EUR,2 doses (6 months)
COUNTRIES,QAT,Qatar,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,12758,455.0,4.0,EMR,2 doses (6 months)
COUNTRIES,KOR,South Korea,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,226523,191693.0,85.0,WPR,2 doses (6 months)
COUNTRIES,MDA,Moldova,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,22418,11640.0,52.0,EUR,2 doses (6 months)
COUNTRIES,ROU,Romania,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,107282,18791.0,18.0,EUR,2 doses (6 months)
COUNTRIES,RUS,Russia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,0.0,EUR,Not yet introduced
COUNTRIES,RWA,Rwanda,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,162876,125325.0,77.0,AFR,1 dose
COUNTRIES,KNA,Saint Kitts and Nevis,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,268,208.0,78.0,AMR,1 dose
COUNTRIES,LCA,Saint Lucia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,1042,741.0,71.0,AMR,1 dose
COUNTRIES,VCT,Saint Vincent and the Grenadines,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,792,66.0,8.0,AMR,1 dose
COUNTRIES,WSM,Samoa,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,10824,6875.0,64.0,WPR,1 dose
COUNTRIES,SMR,San Marino,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,62.0,EUR,2 doses (6 months)
COUNTRIES,STP,São Tomé and Príncipe,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,2995,2248.0,75.0,AFR,1 dose
COUNTRIES,SAU,Saudi Arabia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,267428,133083.0,50.0,EMR,2 doses (12 months)
COUNTRIES,SEN,Senegal,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,218296,145157.0,66.0,AFR,2 doses (6 months)
COUNTRIES,SRB,Serbia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,189448,6821.0,4.0,EUR,2 doses (6 months)
COUNTRIES,SYC,Seychelles,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,829,588.0,71.0,AFR,2 doses (6 months)
COUNTRIES,SLE,Sierra Leone,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,208562,127223.0,61.0,AFR,1 dose
COUNTRIES,SGP,Singapore,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,21210,16512.0,78.0,WPR,2 doses (6 months)
COUNTRIES,SVK,Slovakia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,29859,10890.0,36.0,EUR,2 doses (6 months)
COUNTRIES,SVN,Slovenia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,43.0,EUR,2 doses (6 months)
COUNTRIES,SLB,Solomon Islands,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,9820,7638.0,78.0,WPR,1 dose
COUNTRIES,ZAF,South Africa,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,512080,405299.0,79.0,AFR,1 dose
COUNTRIES,ESP,Spain,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,90.0,EUR,1 dose
COUNTRIES,LKA,Sri Lanka,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,335099,160511.0,48.0,SEAR,2 doses (6 months)
COUNTRIES,SUR,Suriname,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,5443,713.0,13.0,AMR,1 dose
COUNTRIES,SWE,Sweden,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,91.0,EUR,2 doses (6 months)
COUNTRIES,CHE,Switzerland,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,78.0,EUR,2 doses (6 months)
COUNTRIES,TJK,Tajikistan,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,0.0,EUR,1 dose
COUNTRIES,THA,Thailand,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,510074,289727.0,57.0,SEAR,1 dose
COUNTRIES,TLS,Timor-Leste,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,61374,61820.0,99.0,SEAR,1 dose
COUNTRIES,TGO,Togo,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,119083,42724.0,36.0,AFR,1 dose
COUNTRIES,TON,Tonga,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,4306,2889.0,67.0,WPR,1 dose
COUNTRIES,TTO,Trinidad and Tobago,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,9272,3535.0,38.0,AMR,2 doses (6 months)
COUNTRIES,TUR,Turkey,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,0.0,EUR,Not yet introduced
COUNTRIES,TKM,Turkmenistan,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,80088,77913.0,97.0,EUR,1 dose
COUNTRIES,TUV,Tuvalu,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,105,74.0,70.0,WPR,1 dose
COUNTRIES,UGA,Uganda,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,1331840,1266393.0,95.0,AFR,1 dose
COUNTRIES,UKR,Ukraine,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,0.0,EUR,Not yet introduced
COUNTRIES,ARE,United Arab Emirates,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,54140,27720.0,51.0,EMR,2 doses (6 months)
COUNTRIES,GBR,United Kingdom,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,406809,305492.0,75.0,EUR,1 dose
COUNTRIES,TZA,Tanzania,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,5845290,5478116.0,94.0,AFR,1 dose
COUNTRIES,USA,the United States of America,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,74.0,AMR,1 dose
COUNTRIES,URY,Uruguay,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,22538,17261.0,77.0,AMR,2 doses (6 months)
COUNTRIES,UZB,Uzbekistan,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,370761,339114.0,91.0,EUR,1 dose
COUNTRIES,VUT,Vanuatu,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,19076,8198.0,43.0,WPR,1 dose
COUNTRIES,ZMB,Zambia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,283312,170435.0,60.0,AFR,1 dose
COUNTRIES,ZWE,Zimbabwe,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,228192,183148.0,80.0,AFR,1 dose
COUNTRIES,ALB,Albania,2023.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,15605,6402.0,41.0,EUR,1 dose
COUNTRIES,AND,Andorra,2023.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,85.0,EUR,2 doses (6 months)
COUNTRIES,ATG,Antigua and Barbuda,2023.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,2938,45.0,2.0,AMR,2 doses (6 months)
COUNTRIES,ARG,Argentina,2023.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,356756,223675.0,63.0,AMR,1 dose
COUNTRIES,ARM,Armenia,2023.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,18916,8165.0,43.0,EUR,1 dose
COUNTRIES,AUS,Australia,2023.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,160040,112884.0,71.0,WPR,1 dose
COUNTRIES,AUT,Austria,2023.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,56.0,EUR,2 doses (6 months)
