GROUP	CODE	NAME	YEAR	ANTIGEN	ANTIGEN_DESCRIPTION	COVERAGE_CATEGORY	COVERAGE_CATEGORY_DESCRIPTION	TARGET_NUMBER	DOSES	COVERAGE
COUNTRIES	BWA	Botswana	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			34
COUNTRIES	BWA	Botswana	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	BRA	Brazil	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			79
COUNTRIES	BRA	Brazil	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			65
COUNTRIES	BRN	Brunei Darussalam	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	3056	2691	88
COUNTRIES	BRN	Brunei Darussalam	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	BGR	Bulgaria	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	33704	3013	9
COUNTRIES	BGR	Bulgaria	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	BFA	Burkina Faso	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	335340	331987	99
COUNTRIES	BFA	Burkina Faso	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	CPV	Cabo Verde	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	4765	4717	99
COUNTRIES	CPV	Cabo Verde	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	5021	4971	99
COUNTRIES	KHM	Cambodia	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	169639	144310	85
COUNTRIES	KHM	Cambodia	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	CMR	Cameroon	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	379781	138515	36
COUNTRIES	CMR	Cameroon	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	385119	94122	24
COUNTRIES	CAN	Canada	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			86
COUNTRIES	CAN	Canada	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			81
COUNTRIES	CHL	Chile	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	121742	106321	87
COUNTRIES	CHL	Chile	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	126439	108995	86
COUNTRIES	COL	Colombia	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			60
COUNTRIES	COL	Colombia	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			47
COUNTRIES	COK	Cook Islands	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	113	42	37
COUNTRIES	COK	Cook Islands	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	CRI	Costa Rica	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	35074	29455	84
COUNTRIES	CRI	Costa Rica	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	CIV	Côte d'Ivoire	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	616683	374731	61
COUNTRIES	CIV	Côte d'Ivoire	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	HRV	Croatia	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			53
COUNTRIES	HRV	Croatia	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			37
COUNTRIES	CYP	Cyprus	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	4887	4349	89
COUNTRIES	CYP	Cyprus	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	5261	3683	70
COUNTRIES	CZE	Czechia	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			75
COUNTRIES	CZE	Czechia	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			54
COUNTRIES	DNK	Denmark	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	31221	25345	81
COUNTRIES	DNK	Denmark	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	32364	24981	77
COUNTRIES	DMA	Dominica	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	431	331	77
COUNTRIES	DMA	Dominica	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	433	304	70
COUNTRIES	DOM	Dominican Republic	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			45
COUNTRIES	DOM	Dominican Republic	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	ECU	Ecuador	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			89
COUNTRIES	ECU	Ecuador	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			62
COUNTRIES	SLV	El Salvador	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	71093	60894	86
COUNTRIES	SLV	El Salvador	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	133430	60734	46
COUNTRIES	ERI	Eritrea	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	43748	21240	49
COUNTRIES	ERI	Eritrea	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	EST	Estonia	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			63
COUNTRIES	EST	Estonia	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			44
COUNTRIES	SWZ	Eswatini	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	37104	11233	30
COUNTRIES	SWZ	Eswatini	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	ETH	Ethiopia	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	9051552	5249900	58
COUNTRIES	ETH	Ethiopia	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	FJI	Fiji	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	8319	5882	71
COUNTRIES	FJI	Fiji	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	FIN	Finland	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			62
COUNTRIES	FIN	Finland	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			53
COUNTRIES	FRA	France	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			45
COUNTRIES	FRA	France	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			25
COUNTRIES	GMB	Gambia	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	160814	23527	15
COUNTRIES	GMB	Gambia	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	GEO	Georgia	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	27939	7985	29
COUNTRIES	GEO	Georgia	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	86226	7216	8
COUNTRIES	DEU	Germany	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			55
COUNTRIES	DEU	Germany	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			34
COUNTRIES	GRC	Greece	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			
COUNTRIES	GRC	Greece	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	GRD	Grenada	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	778	38	5
COUNTRIES	GRD	Grenada	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	GTM	Guatemala	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			57
COUNTRIES	GTM	Guatemala	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			30
COUNTRIES	GUY	Guyana	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	26178	18567	71
COUNTRIES	GUY	Guyana	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	40968	13417	33
COUNTRIES	HND	Honduras	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	104710	75524	72
COUNTRIES	HND	Honduras	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	HUN	Hungary	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	44364	33475	75
COUNTRIES	HUN	Hungary	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	46567	30847	66
COUNTRIES	ISL	Iceland	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	2430	2152	89
COUNTRIES	ISL	Iceland	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	2537	2287	90
COUNTRIES	IDN	Indonesia	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	2420081	1914506	79
COUNTRIES	IDN	Indonesia	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	IRL	Ireland	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			73
COUNTRIES	IRL	Ireland	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			69
COUNTRIES	ISR	Israel	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			58
COUNTRIES	ISR	Israel	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			51
COUNTRIES	ITA	Italy	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	261095	133893	51
COUNTRIES	ITA	Italy	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	276582	123722	45
COUNTRIES	JAM	Jamaica	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			7
COUNTRIES	JAM	Jamaica	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			7
COUNTRIES	JPN	Japan	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	525678	91224	17
COUNTRIES	JPN	Japan	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	KAZ	Kazakhstan	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			
COUNTRIES	KAZ	Kazakhstan	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	KEN	Kenya	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	1686584	615549	36
COUNTRIES	KEN	Kenya	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	KIR	Kiribati	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	1498	1068	71
COUNTRIES	KIR	Kiribati	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	KWT	Kuwait	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			
COUNTRIES	KWT	Kuwait	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	KGZ	Kyrgyzstan	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	73264	64798	88
COUNTRIES	KGZ	Kyrgyzstan	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	LAO	Lao People's Democratic Republic	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	129684	122798	95
COUNTRIES	LAO	Lao People's Democratic Republic	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	LVA	Latvia	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	9395	4784	51
COUNTRIES	LVA	Latvia	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	10056	4386	44
COUNTRIES	LSO	Lesotho	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	22942	16059	70
COUNTRIES	LSO	Lesotho	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	LBR	Liberia	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	71033	50101	71
COUNTRIES	LBR	Liberia	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	LBY	Libya	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	123811	34498	28
COUNTRIES	LBY	Libya	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	LTU	Lithuania	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	14252	8458	59
COUNTRIES	LTU	Lithuania	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	15059	8937	59
COUNTRIES	LUX	Luxembourg	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			79
COUNTRIES	LUX	Luxembourg	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			70
COUNTRIES	MWI	Malawi	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	1072889	222723	21
COUNTRIES	MWI	Malawi	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	MYS	Malaysia	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			78
COUNTRIES	MYS	Malaysia	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	MDV	Maldives	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	3494	1909	55
COUNTRIES	MDV	Maldives	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	MLI	Mali	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	343798	50563	15
COUNTRIES	MLI	Mali	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	MLT	Malta	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	2361	1886	80
COUNTRIES	MLT	Malta	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	2513	1235	49
COUNTRIES	MHL	Marshall Islands	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	444	223	50
COUNTRIES	MHL	Marshall Islands	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	MRT	Mauritania	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	126351	64894	51
COUNTRIES	MRT	Mauritania	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	MUS	Mauritius	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			92
COUNTRIES	MUS	Mauritius	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			29
COUNTRIES	MEX	Mexico	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			82
COUNTRIES	MEX	Mexico	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	FSM	Micronesia (Federated States of)	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	1159	464	40
COUNTRIES	FSM	Micronesia (Federated States of)	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	MCO	Monaco	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			
COUNTRIES	MCO	Monaco	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	MNG	Mongolia	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	38526	9651	25
COUNTRIES	MNG	Mongolia	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	41167	10314	25
COUNTRIES	MNE	Montenegro	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			5
COUNTRIES	MNE	Montenegro	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			5
COUNTRIES	MAR	Morocco	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	324890	9267	3
COUNTRIES	MAR	Morocco	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	MOZ	Mozambique	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	689327	615889	89
COUNTRIES	MOZ	Mozambique	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	MMR	Myanmar	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	431205	359591	83
COUNTRIES	MMR	Myanmar	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	NRU	Nauru	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	518	30	6
COUNTRIES	NRU	Nauru	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	NLD	Netherlands (Kingdom of the)	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	89066	55994	63
COUNTRIES	NLD	Netherlands (Kingdom of the)	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	94270	55885	59
COUNTRIES	NZL	New Zealand	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	32781	17102	52
COUNTRIES	NZL	New Zealand	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	34310	17415	51
COUNTRIES	NGA	Nigeria	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	13916556	8290701	60
COUNTRIES	NGA	Nigeria	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	NIU	Niue	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			99
COUNTRIES	NIU	Niue	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			99
COUNTRIES	MKD	North Macedonia	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	10604	4226	40
COUNTRIES	MKD	North Macedonia	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	NOR	Norway	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	31651	28895	91
COUNTRIES	NOR	Norway	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	33453	30028	90
COUNTRIES	PLW	Palau	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			43
COUNTRIES	PLW	Palau	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	PAN	Panama	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	37824	20237	54
COUNTRIES	PAN	Panama	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	39754	18004	45
COUNTRIES	PRY	Paraguay	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			47
COUNTRIES	PRY	Paraguay	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			35
COUNTRIES	PER	Peru	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			97
COUNTRIES	PER	Peru	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			85
COUNTRIES	PHL	Philippines	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	1123627	52706	5
COUNTRIES	PHL	Philippines	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	POL	Poland	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	610055	76854	13
COUNTRIES	POL	Poland	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	651182	47809	7
COUNTRIES	PRT	Portugal	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	42979	39675	92
COUNTRIES	PRT	Portugal	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	45262	41140	91
COUNTRIES	QAT	Qatar	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	12758	133	1
